id,claim,audience,channel,status,reason,evidence,replacement,owner
CLM-001,Morpheo ayuda a ordenar la información sobre el sueño y a preparar una consulta.,Todos,"Web, producto y materiales",APROBABLE,Describe una función organizativa y educativa sin atribuir diagnóstico ni resultado clínico.,Demostración funcional y test de usabilidad.,,Producto + Clínica
CLM-002,Morpheo reconoce señales comunicadas por el usuario que aconsejan atención urgente.,Todos,Web y producto,CONDICIONAL,Es un claim de seguridad medible. Debe limitarse a la lista validada y no prometer detección completa.,"Banco de casos, sensibilidad por bandera roja, análisis de falsos negativos y control de versión.","Morpheo pregunta por señales de alarma predefinidas y, si aparecen, muestra una recomendación de atención prioritaria.",Seguridad clínica
CLM-003,"Orientación sobre patrones de sueño, sin diagnóstico.",Adultos y padres/tutores,"Web, SEO y producto",APROBABLE,"Adecuado si el output permanece descriptivo, explicable y no dirige tratamiento.",Revisión clínica de plantillas y pruebas de comprensión.,,Clínica + Contenidos
CLM-004,Cribado de apnea del sueño.,Adultos,Web y campañas,CONDICIONAL,"Puede interpretarse como finalidad médica; el alcance, evidencia y regulación deben definirse.","Evaluación regulatoria, validación de rendimiento y trazabilidad del instrumento utilizado.",Ayuda a reconocer síntomas respiratorios que conviene comentar con un profesional.,Regulatorio + Clínica
CLM-005,Morpheo apoya el razonamiento diagnóstico del profesional.,Profesionales,Web profesional y producto,CONDICIONAL,La información usada para decisiones diagnósticas puede situar el software dentro del marco de MDSW.,"Propósito previsto formal, evaluación regulatoria y validación clínica por uso profesional.",Estructura la anamnesis y genera un resumen revisable por el profesional.,Regulatorio + Dirección clínica
CLM-006,"Morpheo diagnostica insomnio, apnea, narcolepsia u otros trastornos del sueño.",Todos,Cualquier canal,BLOQUEAR,Atribuye diagnóstico a una herramienta que no dispone de pruebas confirmatorias ni autorización para ese propósito.,No aplicable en la versión actual.,Morpheo organiza los síntomas y propone qué conviene valorar con un profesional.,Comité de claims
CLM-007,Morpheo descarta apnea del sueño si el riesgo es bajo.,Todos,Cualquier canal,BLOQUEAR,Un cuestionario o una conversación no excluyen AOS; podría retrasar pruebas necesarias.,Contradice la guía diagnóstica AASM.,Un resultado orientativo bajo no descarta un trastorno; consulta si los síntomas persisten o preocupan.,Seguridad clínica
CLM-008,Recomendaciones de tratamiento personalizadas.,Pacientes y familias,Web y producto,BLOQUEAR,Implica una decisión terapéutica individual y eleva el riesgo clínico y regulatorio.,No aplicable en Morpheo orientativo.,Información general y preguntas para comentar con tu profesional.,Regulatorio + Clínica
CLM-009,Morpheo está clínicamente validado.,Todos,"Web, prensa, inversión y producto",BLOQUEAR,El protocolo o un objetivo de rendimiento no son resultados; el claim requiere evidencia propia concluida y aplicable a la versión comercial.,"Estudio completado, resultados publicados/revisados y control de equivalencia de versión.",Morpheo está en proceso de validación clínica [solo mientras sea cierto y se explique el alcance].,Ciencia + Claims
CLM-010,Morpheo detecta al menos el 90% de las banderas rojas.,Profesionales e inversores,"Web, dossier y presentaciones",BLOQUEAR,"Es un objetivo del protocolo, no un resultado. Además necesita intervalo de confianza y definición cerrada de bandera roja.","Resultados de validación por versión, conjunto de casos, prevalencia, IC95% y análisis de errores.",El estudio de validación evaluará la detección de banderas rojas con un objetivo predefinido.,Ciencia + Estadística
CLM-011,Morpheo sustituye una consulta médica o pediátrica.,Todos,Cualquier canal,BLOQUEAR,Es contrario al propósito orientativo y puede retrasar asistencia.,No aplicable.,Morpheo no sustituye a un profesional y ayuda a preparar el siguiente paso.,Comité de claims
CLM-012,Morpheo adapta sus preguntas al rol del usuario y a la edad comunicada.,Todos,Web y producto,APROBABLE,Claim funcional comprobable si existe una matriz de contenidos por rol y edad.,Pruebas funcionales y revisión pediátrica de rutas.,,Producto + Pediatría
